"","carat","length","width","depth","cut","color","clarity","fdepth","table"
"1",0.23,3.95,3.98,2.43,"Ideal","E","SI2",61.5,55
"2",0.3,4.25,4.28,2.73,"Good","J","SI1",64,55
"3",0.3,4.26,4.3,2.71,"Good","I","SI2",63.3,56
"4",0.23,4,4.03,2.41,"Very Good","F","VS1",60,57
"5",0.33,4.49,4.5,2.75,"Ideal","I","SI2",61.2,56
"6",0.24,4.02,4.03,2.45,"Very Good","F","SI1",60.9,61
"7",0.35,4.54,4.59,2.78,"Ideal","I","VS1",60.9,57
"8",0.24,3.97,4,2.45,"Very Good","D","VVS1",61.5,60
"9",0.26,4,4.04,2.55,"Very Good","E","VVS1",63.4,59
"10",0.7,5.7,5.72,3.57,"Ideal","E","SI1",62.5,57
"11",0.75,5.8,5.75,3.65,"Very Good","D","SI1",63.2,56
"12",0.8,5.96,6,3.67,"Ideal","F","SI2",61.4,57
"13",0.71,5.73,5.69,3.56,"Ideal","D","SI2",62.3,56
"14",0.77,5.89,5.86,3.64,"Ideal","H","VS2",62,56
"15",0.71,5.78,5.75,3.51,"Premium","G","VS2",60.9,57
"16",0.71,5.71,5.67,3.51,"Premium","D","SI2",61.7,59
"17",0.73,5.92,5.87,3.49,"Premium","G","VS2",59.2,59
"18",0.75,5.85,5.89,3.6,"Ideal","D","SI2",61.3,56
"19",0.54,5.25,5.27,3.24,"Ideal","E","VVS2",61.6,56
"20",0.71,5.87,5.9,3.4,"Good","F","VS2",57.8,60
"21",0.7,5.76,5.7,3.43,"Very Good","E","SI1",59.9,63
"22",0.7,5.61,5.65,3.58,"Very Good","F","VS2",63.6,57
"23",0.76,5.9,5.94,3.63,"Ideal","G","VS2",61.3,56
"24",0.72,5.69,5.73,3.6,"Very Good","F","VS2",63,54
"25",0.71,5.71,5.65,3.55,"Ideal","F","SI1",62.5,55
"26",0.55,5.28,5.3,3.22,"Ideal","G","IF",60.9,57
"27",0.71,5.73,5.69,3.53,"Premium","F","VS1",61.8,59
"28",0.79,5.98,6.06,3.65,"Very Good","G","SI1",60.6,57
"29",0.72,5.73,5.69,3.54,"Premium","D","SI2",62,60
"30",0.71,5.74,5.69,3.52,"Premium","D","SI1",61.6,60
"31",0.77,5.87,5.91,3.62,"Ideal","I","VS1",61.5,59
"32",0.83,5.95,6.02,3.74,"Very Good","H","SI1",62.5,59
"33",0.71,5.9,5.87,3.4,"Good","F","VS2",57.8,60
"34",0.74,5.74,5.79,3.66,"Very Good","E","SI1",63.5,56
"35",0.71,5.66,5.64,3.59,"Very Good","G","VS1",63.5,55
"36",0.72,5.74,5.77,3.58,"Ideal","D","SI1",62.2,56
"37",0.82,5.92,5.89,3.78,"Good","G","VS2",64,57
"38",0.75,5.78,5.74,3.65,"Very Good","G","VS2",63.4,56
