"","X","carat","cut","color","clarity","fdepth","table","price","length","width","depth"
"1",1,0.23,1,1,1,61.5,55,326,3.95,3.98,2.43
"2",2,0.23,1,2,2,62.8,56,340,3.93,3.9,2.46
"3",3,0.23,2,3,2,61,57,353,3.94,3.96,2.41
"4",4,0.23,2,1,2,59.5,58,402,4.01,4.06,2.4
"5",5,0.32,3,3,1,63.1,56,403,4.34,4.37,2.75
"6",6,0.3,1,4,1,61,59,405,4.3,4.33,2.63
"7",7,0.32,1,4,3,62,55.3,553,4.39,4.42,2.73
"8",8,0.26,2,5,4,62.4,54,554,4.08,4.13,2.56
"9",9,0.24,4,3,4,60.7,58,554,4.07,4.04,2.46
"10",10,0.8,4,3,5,61.5,58,2760,5.97,5.93,3.66
"11",11,0.8,1,6,1,61.4,57,2761,5.96,6,3.67
"12",12,0.74,1,1,5,62.3,54,2762,5.8,5.83,3.62
"13",13,0.71,1,5,5,61.9,59,2764,5.69,5.72,3.53
"14",14,0.7,2,6,2,60,57,2767,5.8,5.87,3.5
"15",15,0.76,2,6,5,62.9,57,2770,5.79,5.81,3.65
"16",16,0.73,2,3,3,60.4,59,2772,5.83,5.89,3.54
"17",17,0.74,2,6,6,61.3,61,2775,5.8,5.84,3.57
"18",18,0.71,4,6,6,62.1,58,2777,5.67,5.7,3.53
"19",19,0.7,1,1,5,61.4,57,2777,5.76,5.7,3.52
"20",20,0.74,1,1,5,61.7,56,2779,5.84,5.8,3.59
"21",21,0.76,1,7,6,61.3,56,2782,5.9,5.94,3.63
"22",22,0.79,2,3,2,63.7,56,2784,5.85,5.92,3.75
"23",23,1.01,4,3,1,62.7,59,2788,6.31,6.22,3.93
"24",24,0.63,4,1,3,60.9,60,2789,5.55,5.52,3.37
"25",25,0.71,4,1,5,61.8,59,2792,5.7,5.75,3.54
"26",26,0.79,2,1,5,63.2,56,2794,5.91,5.86,3.72
"27",27,0.81,2,3,1,61.3,59,2797,5.94,6.01,3.66
"28",28,0.8,4,6,1,61,57,2797,6.03,6.01,3.67
"29",29,0.83,1,7,5,62.3,57,2800,5.99,6.08,3.76
"30",30,0.71,4,6,6,62.1,58,2801,5.7,5.67,3.53
"31",31,0.74,2,1,5,63.5,56,2803,5.74,5.79,3.66
"32",32,0.91,1,5,1,62.2,57,2803,6.21,6.15,3.85
"33",33,0.9,5,4,5,67.3,59,2804,5.93,5.84,3.96
"34",34,0.7,1,6,5,61.6,55,2806,5.72,5.74,3.53
"35",35,0.81,4,5,1,59.2,57,2809,6.15,6.05,3.61
"36",36,0.99,5,4,1,68.1,56,2811,6.21,6.06,4.18
"37",37,0.3,4,3,5,60.9,59,554,4.31,4.29,2.62
"38",38,0.31,2,6,5,61.8,58,555,4.32,4.35,2.68
"39",39,0.3,1,7,6,62,56,556,4.28,4.3,2.66
"40",40,0.76,4,1,5,62.2,59,2814,5.86,5.81,3.63
"41",41,0.95,5,6,1,56,60,2815,6.62,6.53,3.68
"42",42,0.71,4,1,5,61.3,56,2817,5.78,5.73,3.53
"43",43,0.7,4,1,6,62.4,61,2818,5.66,5.63,3.52
"44",44,0.72,2,7,2,63.8,58,2819,5.64,5.68,3.61
"45",45,0.73,4,1,5,62.2,59,2821,5.77,5.68,3.56
"46",46,0.71,4,5,5,62.7,60,2822,5.71,5.67,3.57
"47",47,0.7,1,5,5,61.8,56,2822,5.73,5.63,3.51
"48",48,0.77,1,4,4,62.1,57,2824,5.84,5.86,3.63
"49",49,0.7,3,1,2,57.2,59,2826,5.94,5.88,3.38
"50",50,0.7,1,3,3,61.6,57,2827,5.69,5.74,3.52
"51",51,0.77,2,3,5,61.7,56,2830,5.84,5.89,3.62
"52",52,0.72,2,6,6,62.5,58,2832,5.71,5.75,3.58
"53",53,0.61,1,6,4,61.7,55,2833,5.45,5.48,3.37
"54",54,0.73,1,6,2,61.2,56,2835,5.89,5.81,3.58
"55",55,0.76,2,3,5,60.9,55,2838,5.92,5.94,3.61
"56",56,0.74,2,1,5,60,57,2839,5.85,5.89,3.52
"57",57,0.71,4,7,4,60.3,58,2839,5.82,5.78,3.5
"58",58,0.73,4,6,6,60.3,59,2841,5.9,5.87,3.55
"59",59,0.73,4,7,2,61.4,58,2841,5.82,5.77,3.56
"60",60,0.81,1,6,1,62.1,57,2843,5.91,5.95,3.68
"61",61,0.79,1,5,5,61.5,56,2846,5.96,5.91,3.65
"62",62,0.84,2,3,5,61.2,57,2847,6.1,6.12,3.74
"63",63,1.2,2,3,7,63.1,60,2850,6.75,6.67,4.23
"64",64,0.71,4,6,6,62.6,58,2853,5.67,5.7,3.56
"65",65,0.91,5,2,6,65.4,60,2854,6.04,6,3.94
